Id	Label	Color
308	Ave Maria	3
309	Miles	7
310	Chowan	7
311	Dartmouth	1
312	Wisconsin-Oshkosh	0
313	Mississippi College	2
314	Virginia-Wise	3
315	Arkansas Tech	2
316	West Liberty State	1
317	Alderson Broaddus	1
318	Limestone College	6
319	Kentucky Wesleyan	0
320	Wesley	3
